hour,day_of_year,month,temperature_c,relative_humidity_percent,ghi_w_m2,dni_w_m2,dhi_w_m2,location,latitude,longitude,days_since_planting,growth_stage,heat_index_approx,heat_risk_class
2,118,4,15.7,83.40705053,352.5284239,250.556329,94.75615985,Virginia,37.5,-77.5,2,planted,23.18336056,Low
3,118,4,14.95,73.3524532,488.1894569,454.6910765,143.3421635,Virginia,37.5,-77.5,2,planted,21.21762522,Low
4,118,4,14.2,38.68970788,681.1989984,539.1474019,199.9575716,Virginia,37.5,-77.5,2,planted,17.3475135,Low
5,118,4,14.74545455,56.3168175,782.0138383,592.700718,224.0537959,Virginia,37.5,-77.5,2,planted,19.49359961,Low
6,118,4,15.29090909,62.5747119,831.4066504,597.8074979,209.7729675,Virginia,37.5,-77.5,2,planted,20.75779214,Low
7,118,4,15.83636364,72.12754346,715.7930946,643.9019244,191.3837047,Virginia,37.5,-77.5,2,planted,22.36524495,Low
8,118,4,16.38181818,64.3088599,684.9017988,542.8140793,197.3598736,Virginia,37.5,-77.5,2,planted,22.41223232,Low
9,118,4,16.92727273,57.4400932,504.6538854,461.1262671,160.9145589,Virginia,37.5,-77.5,2,planted,22.50647972,Low
10,118,4,17.47272727,75.93285898,385.6562158,304.4152923,107.7635622,Virginia,37.5,-77.5,2,planted,25.11127402,Low
11,118,4,18.01818182,52.68345771,274.009444,202.2807975,68.07694386,Virginia,37.5,-77.5,2,planted,23.50628,Low
12,118,4,18.56363636,89.23036248,7.299657142,0,0,Virginia,37.5,-77.5,2,planted,28.18795855,Low
13,118,4,19.10909091,86.86695049,0,0,0,Virginia,37.5,-77.5,2,planted,28.80895313,Low
14,118,4,19.65454545,72.44282428,0,0,0,Virginia,37.5,-77.5,2,planted,28.02798275,Low
15,118,4,20.2,82.95671545,0,0,0,Virginia,37.5,-77.5,2,planted,30.12433885,Low
16,118,4,19.53333333,53.59053096,0,0,0,Virginia,37.5,-77.5,2,planted,25.68040862,Low
17,118,4,18.86666667,64.88821327,0,0,0,Virginia,37.5,-77.5,2,planted,26.00165565,Low
18,118,4,18.2,46.35930984,0,0,0,Virginia,37.5,-77.5,2,planted,23.0857077,Low
19,118,4,17.53333333,83.1383582,0,0,0,Virginia,37.5,-77.5,2,planted,25.92929453,Low
20,118,4,16.86666667,58.26150229,0,0,0,Virginia,37.5,-77.5,2,planted,22.50361385,Low
21,118,4,16.2,62.16861671,0,0,0,Virginia,37.5,-77.5,2,planted,21.96157287,Low
22,118,4,15.53333333,81.87404788,0,0,0,Virginia,37.5,-77.5,2,planted,22.80003535,Low
23,118,4,14.86666667,77.83671048,0,0,0,Virginia,37.5,-77.5,2,planted,21.48136225,Low
0,119,4,15,49.3045919,55.16635601,0,3.517888859,Virginia,37.5,-77.5,3,planted,19.22661686,Low
1,119,4,14.3325,35.24565621,90.3164745,126.6725316,57.43552847,Virginia,37.5,-77.5,3,planted,17.22485574,Low
2,119,4,13.665,39.72559212,433.3306443,326.9320254,136.0145274,Virginia,37.5,-77.5,3,planted,16.78510228,Low
3,119,4,12.9975,50.34575119,618.6253617,442.7845598,152.0203127,Virginia,37.5,-77.5,3,planted,16.78127023,Low
4,119,4,12.33,48.31744979,727.1318997,619.2361614,151.2668006,Virginia,37.5,-77.5,3,planted,15.80408089,Low
5,119,4,12.81545455,32.29863296,745.6785207,551.4539964,201.6201355,Virginia,37.5,-77.5,3,planted,15.21379877,Low
6,119,4,13.30090909,55.92390839,854.7907835,591.4288324,202.6230149,Virginia,37.5,-77.5,3,planted,17.58904874,Low
7,119,4,13.78636364,36.35102021,744.7196305,550.97759,200.0603142,Virginia,37.5,-77.5,3,planted,16.66432432,Low
8,119,4,14.27181818,43.25338317,638.6006707,477.462334,139.6972027,Virginia,37.5,-77.5,3,planted,17.80721559,Low
9,119,4,14.75727273,77.24899065,564.7666009,395.0700016,117.9111045,Virginia,37.5,-77.5,3,planted,21.2752699,Low
10,119,4,15.24272727,59.69277283,394.108399,265.5762218,79.15113251,Virginia,37.5,-77.5,3,planted,20.44148807,Low
11,119,4,15.72818182,52.37718335,250.6870073,162.345908,88.50500345,Virginia,37.5,-77.5,3,planted,20.43611959,Low
12,119,4,16.21363636,41.12612006,0,0,0.964677126,Virginia,37.5,-77.5,3,planted,20.02842783,Low
13,119,4,16.69909091,81.97680638,0,0,0,Virginia,37.5,-77.5,3,planted,24.54535235,Low
14,119,4,17.18454545,84.22138694,0,0,0,Virginia,37.5,-77.5,3,planted,25.50155774,Low
15,119,4,17.67,61.12068103,0,0,0,Virginia,37.5,-77.5,3,planted,23.89674383,Low
16,119,4,17.07666667,85.27648303,0,0,0,Virginia,37.5,-77.5,3,planted,25.43966284,Low
17,119,4,16.48333333,57.88733775,0,0,0,Virginia,37.5,-77.5,3,planted,21.94730237,Low
18,119,4,15.89,36.43454842,0,0,0,Virginia,37.5,-77.5,3,planted,19.19949626,Low
19,119,4,15.29666667,31.02237456,0,0,0,Virginia,37.5,-77.5,3,planted,18.00797424,Low
20,119,4,14.70333333,37.70266837,0,0,0,Virginia,37.5,-77.5,3,planted,17.8733537,Low
21,119,4,14.11,67.35937998,0,0,0,Virginia,37.5,-77.5,3,planted,19.55759489,Low
22,119,4,13.51666667,49.25431182,0,0,0,Virginia,37.5,-77.5,3,planted,17.34754049,Low
23,119,4,12.92333333,68.8985402,0,0,0,Virginia,37.5,-77.5,3,planted,18.07609623,Low
0,120,4,8.9,60.47856739,0,37.03947802,0,Virginia,37.5,-77.5,4,planted,12.35229463,Low
1,120,4,8.5625,49.98075449,161.3318221,158.3161246,53.98127661,Virginia,37.5,-77.5,4,planted,11.35064293,Low
2,120,4,8.225,43.12078797,467.1965434,294.0897688,30.2342735,Virginia,37.5,-77.5,4,planted,10.57561124,Low
3,120,4,7.8875,34.86262463,521.8575651,420.5910123,171.4341632,Virginia,37.5,-77.5,4,planted,9.744500543,Low
4,120,4,7.55,76.94346368,663.2428238,508.2132956,204.8952915,Virginia,37.5,-77.5,4,planted,11.55458362,Low
5,120,4,7.795454545,79.14025087,787.5969181,495.3879701,224.0564207,Virginia,37.5,-77.5,4,planted,11.98441647,Low
6,120,4,8.040909091,62.48704879,859.816256,590.137327,183.0341936,Virginia,37.5,-77.5,4,planted,11.40454961,Low
7,120,4,8.286363636,39.42568037,756.6701725,538.7730634,192.802885,Virginia,37.5,-77.5,4,planted,10.44458793,Low
8,120,4,8.531818182,45.81174277,733.3299002,425.4033837,198.6979551,Virginia,37.5,-77.5,4,planted,11.08204786,Low
9,120,4,8.777272727,87.30871461,649.9196351,432.6763967,112.7172103,Virginia,37.5,-77.5,4,planted,13.71961128,Low
10,120,4,9.022727273,43.55644763,488.6440082,235.304202,104.4371398,Virginia,37.5,-77.5,4,planted,11.5299165,Low
11,120,4,9.268181818,33.40828803,269.020825,159.2458928,42.46604613,Virginia,37.5,-77.5,4,planted,11.22358369,Low
12,120,4,9.513636364,63.00296831,61.93310075,0,0,Virginia,37.5,-77.5,4,planted,13.26317103,Low
13,120,4,9.759090909,45.71483745,0,0,0,Virginia,37.5,-77.5,4,planted,12.52536715,Low
14,120,4,10.00454545,87.44609417,0,0,0,Virginia,37.5,-77.5,4,planted,15.38461967,Low
15,120,4,10.25,64.48607367,0,0,0,Virginia,37.5,-77.5,4,planted,14.28376674,Low
16,120,4,9.95,87.94888408,0,0,0,Virginia,37.5,-77.5,4,planted,15.34109713,Low
17,120,4,9.65,77.13459779,0,0,0,Virginia,37.5,-77.5,4,planted,14.28318193,Low
18,120,4,9.35,73.38508834,0,0,0,Virginia,37.5,-77.5,4,planted,13.66919232,Low
19,120,4,9.05,79.821875,0,0,0,Virginia,37.5,-77.5,4,planted,13.65322758,Low
20,120,4,8.75,66.29313204,0,0,0,Virginia,37.5,-77.5,4,planted,12.49572607,Low
21,120,4,8.45,30.66727759,0,0,0,Virginia,37.5,-77.5,4,planted,10.14766013,Low
22,120,4,8.15,53.54788697,0,0,0,Virginia,37.5,-77.5,4,planted,11.05406911,Low
23,120,4,7.85,43.14108527,0,0,0,Virginia,37.5,-77.5,4,planted,10.14205868,Low
0,121,4,10,56.0587604,20.21475936,0,1.727439212,Virginia,37.5,-77.5,5,planted,13.44792607,Low
1,121,4,9.58,58.23297145,214.4541315,154.212095,53.13631741,Virginia,37.5,-77.5,5,planted,13.0612817,Low
2,121,4,9.16,37.66986401,328.4921637,374.7776615,112.0403213,Virginia,37.5,-77.5,5,planted,11.34868519,Low
3,121,4,8.74,31.40589293,582.3855987,451.4695808,121.1732146,Virginia,37.5,-77.5,5,planted,10.51330128,Low
4,121,4,8.32,38.2920176,637.9186961,530.5096607,122.496368,Virginia,37.5,-77.5,5,planted,10.42099351,Low
5,121,4,8.625454545,81.44562792,722.0142046,556.2179811,186.406524,Virginia,37.5,-77.5,5,planted,13.18840806,Low
6,121,4,8.930909091,75.35125169,743.9464834,640.8212663,167.1971585,Virginia,37.5,-77.5,5,planted,13.24124306,Low
7,121,4,9.236363636,77.93357429,698.7204203,582.1645223,185.4842876,Virginia,37.5,-77.5,5,planted,13.78800112,Low
8,121,4,9.541818182,46.57839716,585.9609901,530.1073524,139.488607,Virginia,37.5,-77.5,5,planted,12.31916895,Low
9,121,4,9.847272727,44.1659514,497.7500897,318.7601279,142.877097,Virginia,37.5,-77.5,5,planted,12.53581872,Low
10,121,4,10.15272727,32.24234456,407.4273905,341.7829619,97.79000312,Virginia,37.5,-77.5,5,planted,12.15637242,Low
11,121,4,10.45818182,58.33610767,217.8962007,161.190653,50.17746383,Virginia,37.5,-77.5,5,planted,14.1588202,Low
12,121,4,10.76363636,52.94453151,0,0,11.35282673,Virginia,37.5,-77.5,5,planted,14.19199358,Low
13,121,4,11.06909091,80.15316602,0,0,0,Virginia,37.5,-77.5,5,planted,16.36685008,Low
14,121,4,11.37454545,70.91205351,0,0,0,Virginia,37.5,-77.5,5,planted,16.15841184,Low
15,121,4,11.68,38.65715609,0,0,0,Virginia,37.5,-77.5,5,planted,14.34168874,Low
16,121,4,11.30666667,89.22930843,0,0,0,Virginia,37.5,-77.5,5,planted,17.29896141,Low
17,121,4,10.93333333,76.23844398,0,0,0,Virginia,37.5,-77.5,5,planted,15.92665383,Low
18,121,4,10.56,73.21425094,0,0,0,Virginia,37.5,-77.5,5,planted,15.23640603,Low
19,121,4,10.18666667,42.99693496,0,0,0,Virginia,37.5,-77.5,5,planted,12.86476509,Low
20,121,4,9.813333333,84.30939604,0,0,0,Virginia,37.5,-77.5,5,planted,14.93378921,Low
21,121,4,9.44,58.43524665,0,0,0,Virginia,37.5,-77.5,5,planted,12.90036728,Low
22,121,4,9.066666667,47.85935717,0,0,0,Virginia,37.5,-77.5,5,planted,11.82978686,Low
23,121,4,8.693333333,69.29001529,0,0,0,Virginia,37.5,-77.5,5,planted,12.5932919,Low
0,122,5,12.2,42.70511766,29.43107055,0,9.548206111,Arkansas,34.7,-92.4,0,planted,15.24411453,Low
0,122,5,12.2,42.70511766,29.43107055,0,9.548206111,Virginia,37.5,-77.5,6,planted,15.24411453,Low
1,122,5,11.705,84.45393784,226.5496221,172.0151016,27.9491359,Arkansas,34.7,-92.4,0,planted,17.52968259,Low
1,122,5,11.705,84.45393784,226.5496221,172.0151016,27.9491359,Virginia,37.5,-77.5,6,planted,17.52968259,Low
2,122,5,11.21,81.26061906,421.7481777,316.837642,118.3997427,Arkansas,34.7,-92.4,0,planted,16.63192985,Low
2,122,5,11.21,81.26061906,421.7481777,316.837642,118.3997427,Virginia,37.5,-77.5,6,planted,16.63192985,Low
3,122,5,10.715,57.89468217,573.1441126,405.0685231,122.4028657,Arkansas,34.7,-92.4,0,planted,14.45166103,Low
3,122,5,10.715,57.89468217,573.1441126,405.0685231,122.4028657,Virginia,37.5,-77.5,6,planted,14.45166103,Low
4,122,5,10.22,41.4394453,678.1829915,496.6741447,188.9004004,Arkansas,34.7,-92.4,0,planted,12.80690104,Low
4,122,5,10.22,41.4394453,678.1829915,496.6741447,188.9004004,Virginia,37.5,-77.5,6,planted,12.80690104,Low
5,122,5,10.58,59.79024741,707.1199784,616.9212346,201.6384341,Arkansas,34.7,-92.4,0,planted,14.40412017,Low
5,122,5,10.58,59.79024741,707.1199784,616.9212346,201.6384341,Virginia,37.5,-77.5,6,planted,14.40412017,Low
6,122,5,10.94,38.94829305,800.045404,554.9573827,178.8825551,Arkansas,34.7,-92.4,0,planted,13.49210306,Low
6,122,5,10.94,38.94829305,800.045404,554.9573827,178.8825551,Virginia,37.5,-77.5,6,planted,13.49210306,Low
7,122,5,11.3,46.19093308,768.5661534,644.9399046,173.8852272,Arkansas,34.7,-92.4,0,planted,14.40061979,Low
7,122,5,11.3,46.19093308,768.5661534,644.9399046,173.8852272,Virginia,37.5,-77.5,6,planted,14.40061979,Low
8,122,5,11.66,58.96394344,686.4976697,516.0554676,184.5410277,Arkansas,34.7,-92.4,0,planted,15.71446729,Low
8,122,5,11.66,58.96394344,686.4976697,516.0554676,184.5410277,Virginia,37.5,-77.5,6,planted,15.71446729,Low
9,122,5,12.02,31.26838446,577.3896427,401.8117464,162.2813423,Arkansas,34.7,-92.4,0,planted,14.22232711,Low
9,122,5,12.02,31.26838446,577.3896427,401.8117464,162.2813423,Virginia,37.5,-77.5,6,planted,14.22232711,Low
10,122,5,12.38,75.94335621,427.7198716,231.2045157,100.6580525,Arkansas,34.7,-92.4,0,planted,17.85859218,Low
10,122,5,12.38,75.94335621,427.7198716,231.2045157,100.6580525,Virginia,37.5,-77.5,6,planted,17.85859218,Low
11,122,5,12.74,41.81489263,227.6474931,181.2607287,74.38269402,Arkansas,34.7,-92.4,0,planted,15.82948989,Low
11,122,5,12.74,41.81489263,227.6474931,181.2607287,74.38269402,Virginia,37.5,-77.5,6,planted,15.82948989,Low
12,122,5,13.1,81.99667544,0,3.236429533,23.76814726,Arkansas,34.7,-92.4,0,planted,19.30443933,Low
12,122,5,13.1,81.99667544,0,3.236429533,23.76814726,Virginia,37.5,-77.5,6,planted,19.30443933,Low
13,122,5,13.46,31.33558965,0,0,0,Arkansas,34.7,-92.4,0,planted,15.88811176,Low
13,122,5,13.46,31.33558965,0,0,0,Virginia,37.5,-77.5,6,planted,15.88811176,Low
14,122,5,13.82,61.92790144,0,0,0,Arkansas,34.7,-92.4,0,planted,18.73378063,Low
14,122,5,13.82,61.92790144,0,0,0,Virginia,37.5,-77.5,6,planted,18.73378063,Low
15,122,5,14.18,76.5990573,0,0,0,Arkansas,34.7,-92.4,0,planted,20.40336996,Low
15,122,5,14.18,76.5990573,0,0,0,Virginia,37.5,-77.5,6,planted,20.40336996,Low
16,122,5,13.74,44.276906,0,0,0,Arkansas,34.7,-92.4,0,planted,17.23478387,Low
16,122,5,13.74,44.276906,0,0,0,Virginia,37.5,-77.5,6,planted,17.23478387,Low
17,122,5,13.3,72.45318361,0,0,0,Arkansas,34.7,-92.4,0,planted,18.85523979,Low
17,122,5,13.3,72.45318361,0,0,0,Virginia,37.5,-77.5,6,planted,18.85523979,Low
18,122,5,12.86,73.25206948,0,0,0,Arkansas,34.7,-92.4,0,planted,18.31542707,Low
18,122,5,12.86,73.25206948,0,0,0,Virginia,37.5,-77.5,6,planted,18.31542707,Low
19,122,5,12.42,68.27061995,0,0,0,Arkansas,34.7,-92.4,0,planted,17.35818416,Low
19,122,5,12.42,68.27061995,0,0,0,Virginia,37.5,-77.5,6,planted,17.35818416,Low
20,122,5,11.98,51.85516388,0,0,0,Arkansas,34.7,-92.4,0,planted,15.62259515,Low
20,122,5,11.98,51.85516388,0,0,0,Virginia,37.5,-77.5,6,planted,15.62259515,Low
21,122,5,11.54,77.10388789,0,0,0,Arkansas,34.7,-92.4,0,planted,16.79946208,Low
21,122,5,11.54,77.10388789,0,0,0,Virginia,37.5,-77.5,6,planted,16.79946208,Low
22,122,5,11.1,67.70602306,0,0,0,Arkansas,34.7,-92.4,0,planted,15.58434512,Low
22,122,5,11.1,67.70602306,0,0,0,Virginia,37.5,-77.5,6,planted,15.58434512,Low
23,122,5,10.66,65.42329255,0,0,0,Arkansas,34.7,-92.4,0,planted,14.86698657,Low
23,122,5,10.66,65.42329255,0,0,0,Virginia,37.5,-77.5,6,planted,14.86698657,Low
0,123,5,15,79.14967615,15.07845717,0,11.83800679,Arkansas,34.7,-92.4,1,planted,21.78507503,Low
0,123,5,15,79.14967615,15.07845717,0,11.83800679,Virginia,37.5,-77.5,7,planted,21.78507503,Low
1,123,5,14.1225,44.67828259,208.5802417,188.7846842,63.96261271,Arkansas,34.7,-92.4,1,planted,17.7387596,Low
1,123,5,14.1225,44.67828259,208.5802417,188.7846842,63.96261271,Virginia,37.5,-77.5,7,planted,17.7387596,Low
2,123,5,13.245,43.94927721,420.9441029,325.1999501,69.37552735,Arkansas,34.7,-92.4,1,planted,16.60252795,Low
2,123,5,13.245,43.94927721,420.9441029,325.1999501,69.37552735,Virginia,37.5,-77.5,7,planted,16.60252795,Low
3,123,5,12.3675,53.18681323,618.6191202,393.458094,129.8067257,Arkansas,34.7,-92.4,1,planted,16.20123763,Low
3,123,5,12.3675,53.18681323,618.6191202,393.458094,129.8067257,Virginia,37.5,-77.5,7,planted,16.20123763,Low
4,123,5,11.49,34.38798412,657.6720188,515.1105158,172.6464484,Arkansas,34.7,-92.4,1,planted,13.82786793,Low
4,123,5,11.49,34.38798412,657.6720188,515.1105158,172.6464484,Virginia,37.5,-77.5,7,planted,13.82786793,Low
5,123,5,12.12818182,50.24360816,757.7748191,553.3410931,186.1416091,Arkansas,34.7,-92.4,1,planted,15.69257872,Low
5,123,5,12.12818182,50.24360816,757.7748191,553.3410931,186.1416091,Virginia,37.5,-77.5,7,planted,15.69257872,Low
6,123,5,12.76636364,54.37632471,798.8947831,660.4575692,213.2237659,Arkansas,34.7,-92.4,1,planted,16.79098028,Low
6,123,5,12.76636364,54.37632471,798.8947831,660.4575692,213.2237659,Virginia,37.5,-77.5,7,planted,16.79098028,Low
7,123,5,13.40454545,59.70349097,749.6823432,534.0893078,196.9806708,Arkansas,34.7,-92.4,1,planted,18.01391817,Low
7,123,5,13.40454545,59.70349097,749.6823432,534.0893078,196.9806708,Virginia,37.5,-77.5,7,planted,18.01391817,Low
8,123,5,14.04272727,45.24080785,595.8309442,436.1127017,185.2108539,Arkansas,34.7,-92.4,1,planted,17.68538556,Low
8,123,5,14.04272727,45.24080785,595.8309442,436.1127017,185.2108539,Virginia,37.5,-77.5,7,planted,17.68538556,Low
9,123,5,14.68090909,84.41054686,608.4493119,361.5395238,137.8801694,Arkansas,34.7,-92.4,1,planted,21.76770401,Low
9,123,5,14.68090909,84.41054686,608.4493119,361.5395238,137.8801694,Virginia,37.5,-77.5,7,planted,21.76770401,Low
10,123,5,15.31909091,47.10470207,294.7292936,277.6689577,126.8867986,Arkansas,34.7,-92.4,1,planted,19.44198433,Low
10,123,5,15.31909091,47.10470207,294.7292936,277.6689577,126.8867986,Virginia,37.5,-77.5,7,planted,19.44198433,Low
11,123,5,15.95727273,81.09304665,221.7012452,166.3447108,56.55532056,Arkansas,34.7,-92.4,1,planted,23.35547702,Low
11,123,5,15.95727273,81.09304665,221.7012452,166.3447108,56.55532056,Virginia,37.5,-77.5,7,planted,23.35547702,Low
12,123,5,16.59545455,56.69714617,0,0,0,Arkansas,34.7,-92.4,1,planted,21.98595943,Low
12,123,5,16.59545455,56.69714617,0,0,0,Virginia,37.5,-77.5,7,planted,21.98595943,Low
13,123,5,17.23363636,73.08940176,0,0,0,Arkansas,34.7,-92.4,1,planted,24.47415045,Low
13,123,5,17.23363636,73.08940176,0,0,0,Virginia,37.5,-77.5,7,planted,24.47415045,Low
14,123,5,17.87181818,36.65414328,0,0,0,Arkansas,34.7,-92.4,1,planted,21.65455867,Low
14,123,5,17.87181818,36.65414328,0,0,0,Virginia,37.5,-77.5,7,planted,21.65455867,Low
15,123,5,18.51,62.67823321,0,0,0,Arkansas,34.7,-92.4,1,planted,25.24737842,Low
15,123,5,18.51,62.67823321,0,0,0,Virginia,37.5,-77.5,7,planted,25.24737842,Low
16,123,5,17.73,87.6495537,0,0,0,Arkansas,34.7,-92.4,1,planted,26.69378375,Low
16,123,5,17.73,87.6495537,0,0,0,Virginia,37.5,-77.5,7,planted,26.69378375,Low
17,123,5,16.95,69.97507256,0,0,0,Arkansas,34.7,-92.4,1,planted,23.75669292,Low
17,123,5,16.95,69.97507256,0,0,0,Virginia,37.5,-77.5,7,planted,23.75669292,Low
18,123,5,16.17,79.21735563,0,0,0,Arkansas,34.7,-92.4,1,planted,23.49735126,Low
18,123,5,16.17,79.21735563,0,0,0,Virginia,37.5,-77.5,7,planted,23.49735126,Low
19,123,5,15.39,45.66422773,0,0,0,Arkansas,34.7,-92.4,1,planted,19.40530405,Low
19,123,5,15.39,45.66422773,0,0,0,Virginia,37.5,-77.5,7,planted,19.40530405,Low
20,123,5,14.61,78.01013525,0,0,0,Arkansas,34.7,-92.4,1,planted,21.12913267,Low
20,123,5,14.61,78.01013525,0,0,0,Virginia,37.5,-77.5,7,planted,21.12913267,Low
21,123,5,13.83,51.07520287,0,0,0,Arkansas,34.7,-92.4,1,planted,17.8853207,Low
21,123,5,13.83,51.07520287,0,0,0,Virginia,37.5,-77.5,7,planted,17.8853207,Low
22,123,5,13.05,59.104686,0,0,0,Arkansas,34.7,-92.4,1,planted,17.5075087,Low
22,123,5,13.05,59.104686,0,0,0,Virginia,37.5,-77.5,7,planted,17.5075087,Low
23,123,5,12.27,41.27746306,0,0,0,Arkansas,34.7,-92.4,1,planted,15.22608103,Low
23,123,5,12.27,41.27746306,0,0,0,Virginia,37.5,-77.5,7,planted,15.22608103,Low
0,124,5,22.2,59.14190328,34.80846389,0,9.091536961,Arkansas,34.7,-92.4,2,planted,30.21787283,Low
0,124,5,22.2,59.14190328,34.80846389,0,9.091536961,Virginia,37.5,-77.5,8,planted,30.21787283,Low
